# wavelength_nm QE_fraction
300.0 0.108017
305.0 0.129207
310.0 0.152606
315.0 0.174653
320.0 0.197653
325.0 0.226957
330.0 0.259555
335.0 0.298146
340.0 0.340231
345.0 0.394308
350.0 0.445640
355.0 0.483276
360.0 0.520189
365.0 0.565875
370.0 0.615000
375.0 0.676991
380.0 0.737630
385.0 0.780143
390.0 0.819502
395.0 0.846903
400.0 0.870797
405.0 0.890078
410.0 0.906038
415.0 0.909634
420.0 0.910892
425.0 0.910892
430.0 0.910892
435.0 0.910892
440.0 0.910892
445.0 0.910892
450.0 0.910761
455.0 0.908823
460.0 0.906209
465.0 0.902242
470.0 0.899394
475.0 0.897365
480.0 0.895335
485.0 0.893306
490.0 0.892553
495.0 0.890601
500.0 0.887429
505.0 0.884230
510.0 0.881808
515.0 0.881808
520.0 0.881131
525.0 0.879778
530.0 0.879102
535.0 0.881131
540.0 0.883160
545.0 0.883837
550.0 0.883837
555.0 0.884513
560.0 0.885341
565.0 0.886603
570.0 0.888541
575.0 0.890601
580.0 0.892416
585.0 0.894049
590.0 0.895335
595.0 0.897365
600.0 0.899394
605.0 0.900077
610.0 0.902014
615.0 0.904629
620.0 0.906567
625.0 0.908187
630.0 0.909540
635.0 0.910892
640.0 0.910892
645.0 0.910892
650.0 0.910892
655.0 0.910892
660.0 0.910892
665.0 0.910892
670.0 0.910892
675.0 0.910892
680.0 0.910892
685.0 0.910892
690.0 0.910892
695.0 0.910892
700.0 0.910892
705.0 0.910892
710.0 0.910892
715.0 0.910892
720.0 0.910892
725.0 0.910892
730.0 0.910892
735.0 0.910892
740.0 0.910892
745.0 0.910892
750.0 0.910892
755.0 0.910892
760.0 0.910892
765.0 0.910892
770.0 0.910892
775.0 0.910892
780.0 0.910892
785.0 0.910892
790.0 0.910892
795.0 0.910892
800.0 0.910892
805.0 0.910892
810.0 0.910892
815.0 0.910892
820.0 0.910892
825.0 0.910892
830.0 0.910892
835.0 0.910892
840.0 0.910892
845.0 0.910892
850.0 0.910892
855.0 0.910892
860.0 0.910892
865.0 0.910892
870.0 0.910892
875.0 0.910892
880.0 0.910892
885.0 0.910892
890.0 0.910892
895.0 0.910892
900.0 0.910892
905.0 0.910892
910.0 0.908187
915.0 0.902099
920.0 0.894994
925.0 0.885616
930.0 0.876756
935.0 0.864087
940.0 0.850742
945.0 0.834806
950.0 0.817494
955.0 0.794392
960.0 0.770407
965.0 0.742168
970.0 0.712292
975.0 0.682193
980.0 0.648921
985.0 0.609562
990.0 0.568850
995.0 0.527137
1000.0 0.484931
1005.0 0.438990
1010.0 0.393050
1015.0 0.349774
1020.0 0.307124
1025.0 0.263574
1030.0 0.220157
1035.0 0.183097
1040.0 0.148203
1045.0 0.120430
1050.0 0.093154
1055.0 0.069842
1060.0 0.049053
1065.0 0.035921
1070.0 0.023837
1075.0 0.016028
1080.0 0.009264
1085.0 0.005848
1090.0 0.002500
1095.0 0.001296
1100.0 0.000035
