# "A Modern Mean Dwarf Stellar Color and Effective Temperature Sequence"
# http://www.pas.rochester.edu/~emamajek/EEM_dwarf_UBVIJHK_colors_Teff.txt
# Eric Mamajek (JPL/Caltech, University of Rochester) 
# Version 2017.09.06
#
# Much of the content (but not all) of this table was incorporated
# into Table 5 of Pecaut & Mamajek (2013, ApJS, 208, 9;
# http://adsabs.harvard.edu/abs/2013ApJS..208....9P), so that
# reference should be cited. Parts of this table for A/F/G stars also
# appeared in Table 3 of Pecaut, Mamajek, & Bubar (2012, ApJ 756,
# 154).  For example, Table 5 of Pecaut & Mamajek did not include the
# absolute magnitude and luminosity estimates, nor the properties of
# the LTY dwarfs. 
#
# The author's notes on standard stars and mean parameters for
# stars for each dwarf spectral type can be found in the directory at:
# http://www.pas.rochester.edu/~emamajek/spt/. See further notes and
# caveats after the table. Colors are based on Johnson UBV, 
# Tycho BtVt, Cousins RcIc, 2MASS JHKs, and WISE W1/W2/W3/W4 photometry.
#
SpT   Teff  logT  BCv     Mv    logL  B-V    Bt-Vt  U-B     V-Rc   V-Ic    V-Ks    J-H     H-K     Ks-W1   W1-W2  W1-W3  W1-W4  Msun  logAge b-y    #SpT    M_J    M_Ks   Mbol i-z  z-Y  
O3V    46000 4.663 -4.05  -5.7   5.80 -0.32   ...   -1.22    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O3V     ....   ....  -9.75 ...  ...  
O4V    43000 4.633 -3.92  -5.5   5.67 -0.32   ...   -1.20    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O4V     ....   ....  -9.42 ...  ...  
O5V    41500 4.618 -3.77  -5.4   5.58 -0.32   ...   -1.19    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O5V     ....   ....  -9.20 ...  ...  
O5.5V  40000 4.602 -3.65  -5.2   5.46 -0.32   ...   -1.18    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O5.5V   ....   ....  -8.90 ...  ...  
O6V    39000 4.591 -3.57  -5.1   5.37 -0.32   ...   -1.17    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O6V     ....   ....  -8.67 ...  ...  
O6.5V  37300 4.573 -3.45  -4.9   5.24 -0.32   ...   -1.16    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O6.5V   ....   ....  -8.35 ...  ...  
O7V    36500 4.562 -3.38  -4.8   5.17 -0.32   ...   -1.15    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O7V     ....   ....  -8.18 ...  ...  
O7.5V  35000 4.544 -3.26  -4.6   5.05 -0.32   ...   -1.14    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O7.5V   ....   ....  -7.87 ...  ...  
O8V    34500 4.538 -3.22  -4.5   4.99 -0.32   ...   -1.13    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O8V     ....   ....  -7.72 ...  ...  
O8.5V  33000 4.519 -3.13  -4.3   4.87 -0.32   ...   -1.12    ...    .....   .....   .....   .....   ...     ...    ...    ...    ....  ...    .....  O8.5V   ....   ....  -7.43 ...  ...  
