r(lam/D)	r(arcsec)	I	contrast	core_thput	PSF_peak	area(sq_arcsec	occ_trans
2.7	0.128699	7.21E-12	9.55E-09	0.00575	0.00078	0.00203	0.00420
3.0	0.142999	3.81E-12	3.07E-09	0.01018	0.00137	0.00205	0.26490
3.3	0.157299	1.85E-12	1.18E-09	0.01557	0.00209	0.00206	0.23484
3.6	0.171598	1.59E-12	9.25E-10	0.01842	0.00249	0.00206	0.23055
3.9	0.185898	2.19E-12	1.11E-09	0.01961	0.00264	0.00206	0.23373
4.2	0.200198	2.46E-12	1.16E-09	0.02071	0.00278	0.00206	0.23470
4.5	0.214498	2.15E-12	1.00E-09	0.02172	0.00291	0.00208	0.23323
4.8	0.228798	1.70E-12	8.23E-10	0.02243	0.00303	0.00206	0.23128
5.1	0.243098	1.62E-12	7.76E-10	0.02281	0.00308	0.00205	0.23104
5.4	0.257398	1.91E-12	8.66E-10	0.02285	0.00308	0.00206	0.23286
5.7	0.271698	2.20E-12	9.52E-10	0.02288	0.00308	0.00206	0.23450
6.0	0.285997	2.47E-12	1.03E-09	0.02279	0.00307	0.00206	0.23429
6.3	0.300297	2.70E-12	1.10E-09	0.02273	0.00307	0.00205	0.23312
6.6	0.314597	2.76E-12	1.12E-09	0.02266	0.00306	0.00205	0.23314
6.9	0.328897	2.53E-12	1.03E-09	0.02256	0.00306	0.00204	0.23397
7.2	0.343197	2.42E-12	9.94E-10	0.02245	0.00305	0.00203	0.23447
7.5	0.357497	2.61E-12	1.05E-09	0.02244	0.00305	0.00204	0.23391
7.8	0.371797	2.71E-12	1.08E-09	0.02247	0.00304	0.00204	0.23296
8.1	0.386097	2.64E-12	1.05E-09	0.02253	0.00304	0.00206	0.23302
8.4	0.400396	2.80E-12	1.10E-09	0.02194	0.00304	0.00199	0.23387
8.7	0.414696	4.22E-12	1.56E-09	0.01562	0.00305	0.00139	0.23462
9.0	0.428996	3.22E-12	1.41E-09	0.00871	0.00260	0.00094	0.23397
