r(lam/D)	r(arcsec)	I	contrast	core_thput	PSF_peak	area(sq_arcsec	occ_trans
3.00	0.208876	6.47E-12	9.33E-09	0.0221	0.00122	0.00467	0.15636
3.20	0.222801	4.72E-12	6.96E-09	0.0258	0.00140	0.00479	0.18240
3.40	0.236726	5.06E-12	6.55E-09	0.0291	0.00152	0.00498	0.20577
3.60	0.250651	3.52E-12	5.11E-09	0.0311	0.00160	0.00503	0.22006
3.80	0.264576	3.30E-12	4.63E-09	0.0329	0.00166	0.00509	0.23257
4.00	0.278501	2.91E-12	4.13E-09	0.0344	0.00172	0.00514	0.24328
4.20	0.292426	2.41E-12	3.63E-09	0.0356	0.00176	0.00519	0.25220
4.40	0.306351	1.96E-12	3.23E-09	0.0366	0.00179	0.00524	0.25934
4.60	0.320276	2.10E-12	3.19E-09	0.0374	0.00182	0.00528	0.26468
4.80	0.334201	2.69E-12	3.43E-09	0.0379	0.00183	0.00533	0.26824
5.00	0.348126	3.39E-12	3.76E-09	0.0381	0.00183	0.00536	0.27000
5.20	0.362051	4.33E-12	4.24E-09	0.0381	0.00183	0.00540	0.26997
5.40	0.375976	4.02E-12	4.07E-09	0.0379	0.00181	0.00543	0.26816
5.60	0.389901	4.11E-12	4.14E-09	0.0374	0.00178	0.00546	0.26455
5.80	0.403826	4.18E-12	4.22E-09	0.0366	0.00174	0.00548	0.25916
6.00	0.417751	4.56E-12	4.51E-09	0.0356	0.00169	0.00551	0.25198
6.20	0.431677	5.12E-12	4.84E-09	0.0355	0.00169	0.00550	0.25129
6.40	0.445602	4.50E-12	4.48E-09	0.0353	0.00168	0.00549	0.25009
6.60	0.459527	4.41E-12	4.43E-09	0.0351	0.00168	0.00547	0.24838
6.80	0.473452	4.25E-12	4.35E-09	0.0348	0.00167	0.00544	0.24615
7.00	0.487377	4.65E-12	4.61E-09	0.0344	0.00166	0.00541	0.24341
7.20	0.501302	5.22E-12	4.97E-09	0.0339	0.00165	0.00536	0.24015
7.40	0.515227	5.41E-12	5.11E-09	0.0334	0.00163	0.00532	0.23638
7.60	0.529152	4.99E-12	4.89E-09	0.0328	0.00162	0.00526	0.23209
7.80	0.543077	4.67E-12	4.71E-09	0.0321	0.00160	0.00520	0.22729
8.00	0.557002	4.27E-12	4.50E-09	0.0314	0.00158	0.00513	0.22198
